instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_c,atemp_c,hum_pct,wind_kmh,season_lbl,weathersit_lbl,dow,month,mon_sin,mon_cos
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,6.2566510000000015,2.7489500000000007,60.5,74.2524552,winter,mist_cloudy,1,2,0.8660254037844386,0.5000000000000001
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.5644340000000003,-3.7218219999999995,57.7778,47.1987396,winter,clear,2,2,0.8660254037844386,0.5000000000000001
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,2.4217329999999997,0.21732199999999935,42.3043,22.700055600000002,winter,clear,3,2,0.8660254037844386,0.5000000000000001
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,5.895644000000001,3.0866059999999997,69.7391,60.419635199999995,winter,mist_cloudy,4,2,0.8660254037844386,0.5000000000000001
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,9.124355999999999,7.130426,71.2174,83.5852068,winter,mist_cloudy,5,2,0.8660254037844386,0.5000000000000001
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,5.277499999999998,2.6246720000000003,53.7917,45.0009252,winter,clear,6,2,0.8660254037844386,0.5000000000000001
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,8.143466,7.173193999999999,68.0,30.209817599999997,winter,clear,0,2,0.8660254037844386,0.5000000000000001
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,11.141831,10.407787999999996,87.63640000000001,69.87226319999999,winter,mist_cloudy,1,2,0.8660254037844386,0.5000000000000001
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,4.533348999999999,1.416013999999997,53.5,52.20171,winter,clear,2,3,1.0,6.123233995736766e-17
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,7.745000000000001,5.1246860000000005,44.9583,74.2493196,winter,clear,3,3,1.0,6.123233995736766e-17
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1.321651000000001,-2.7912219999999994,31.833299999999998,54.4518648,winter,clear,4,3,1.0,6.123233995736766e-17
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,4.298349,0.8748140000000006,61.0417,49.047055199999996,winter,mist_cloudy,5,3,1.0,6.123233995736766e-17
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,10.055848999999998,8.999413999999998,78.91669999999999,60.751285200000005,winter,mist_cloudy,6,3,1.0,6.123233995736766e-17
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,9.696534,8.172632,94.8261,82.80082440000001,winter,mist_cloudy,0,3,1.0,6.123233995736766e-17
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,4.3017330000000005,-0.26157399999999953,55.1304,82.3341024,winter,clear,1,3,1.0,6.123233995736766e-17
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,5.747499999999999,3.958400000000001,42.0833,29.100779999999997,winter,clear,2,3,1.0,6.123233995736766e-17
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,5.904151000000001,2.916127999999997,77.5417,53.10018000000001,winter,mist_cloudy,3,3,1.0,6.123233995736766e-17
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,10.287277,9.454088000000002,0.0,63.164732400000005,winter,light_snow_rain,4,3,1.0,6.123233995736766e-17
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,6.876534000000001,4.129999999999999,64.95649999999999,56.192364000000005,winter,mist_cloudy,5,3,1.0,6.123233995736766e-17
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,7.470848999999999,5.499499999999998,59.458299999999994,53.25093,winter,clear,6,3,1.0,6.123233995736766e-17
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,10.064356,9.086006000000001,52.73910000000001,65.26968480000001,winter,clear,0,3,1.0,6.123233995736766e-17
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,7.285198999999999,5.912000000000003,49.695699999999995,33.0265512,winter,clear,1,3,1.0,6.123233995736766e-17
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,6.917376999999998,4.999748,65.5652,44.455330800000006,winter,mist_cloudy,2,3,1.0,6.123233995736766e-17
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,9.165199000000001,8.217379999999999,77.65220000000001,48.9918204,winter,mist_cloudy,3,3,1.0,6.123233995736766e-17
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,11.504999999999999,11.081978,60.291700000000006,50.5504548,winter,clear,4,3,1.0,6.123233995736766e-17
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,17.380000000000003,18.782593999999996,52.5217,55.721300400000004,winter,clear,5,3,1.0,6.123233995736766e-17
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,14.2075,14.790650000000003,37.9167,88.8018804,winter,clear,6,3,1.0,6.123233995736766e-17
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,7.627500000000001,5.499499999999998,47.375,50.102305199999996,winter,clear,0,3,1.0,6.123233995736766e-17
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,12.230445,11.04251,73.73910000000001,69.65445960000001,spring,mist_cloudy,1,3,1.0,6.123233995736766e-17
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,12.758348999999999,13.082372,62.4583,54.450900000000004,spring,clear,2,3,1.0,6.123233995736766e-17
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,8.306979000000002,6.303974,83.9565,56.5037532,spring,mist_cloudy,3,3,1.0,6.123233995736766e-17
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,5.395,1.8749779999999987,80.58330000000001,58.80142440000001,spring,mist_cloudy,4,3,1.0,6.123233995736766e-17
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,4.415849,0.9165919999999979,49.5,55.650870000000005,spring,clear,5,3,1.0,6.123233995736766e-17
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,4.494150999999999,0.9996860000000005,39.4167,50.5485252,spring,clear,6,3,1.0,6.123233995736766e-17
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,3.893021000000001,0.5223739999999992,49.3913,44.45316,spring,mist_cloudy,0,3,1.0,6.123233995736766e-17
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,4.424356000000001,0.9998840000000015,30.2174,51.1836048,spring,clear,1,3,1.0,6.123233995736766e-17
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,6.217499999999999,3.3319280000000013,31.4167,54.751435199999996,spring,clear,2,3,1.0,6.123233995736766e-17
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,6.1,3.6250999999999998,64.6667,41.7005856,spring,mist_cloudy,3,3,1.0,6.123233995736766e-17
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,4.611651,0.9999499999999983,91.8333,52.4962152,spring,light_snow_rain,4,3,1.0,6.123233995736766e-17
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,6.1,2.7079640000000005,68.625,62.4003696,spring,mist_cloudy,5,4,0.8660254037844387,-0.49999999999999983
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,6.805,4.832042000000001,65.375,47.5516152,spring,mist_cloudy,6,4,0.8660254037844387,-0.49999999999999983
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,9.781651,8.998622000000001,48.0,43.94977560000001,spring,clear,0,4,0.8660254037844387,-0.49999999999999983
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,18.946651,19.833314,42.625,92.9997252,spring,clear,1,4,0.8660254037844387,-0.49999999999999983
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,11.465848999999999,10.2911,64.2083,93.60176039999999,spring,mist_cloudy,2,4,0.8660254037844387,-0.49999999999999983
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,10.369150999999999,9.582128,47.0833,63.4507956,spring,clear,3,4,0.8660254037844387,-0.49999999999999983
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,12.5625,12.623936,60.291700000000006,39.1496544,spring,clear,4,4,0.8660254037844387,-0.49999999999999983
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,7.784151,5.4156140000000015,83.625,54.7504704,spring,mist_cloudy,5,4,0.8660254037844387,-0.49999999999999983
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,8.0975,6.540914000000001,87.75,32.0996196,spring,mist_cloudy,6,4,0.8660254037844387,-0.49999999999999983
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,12.053349,12.164641999999997,85.75,35.4002004,spring,mist_cloudy,0,4,0.8660254037844387,-0.49999999999999983
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,19.995644,21.304322,71.6956,78.26312879999999,spring,mist_cloudy,1,4,0.8660254037844387,-0.49999999999999983
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,15.617499999999996,16.541564,73.9167,66.3008148,spring,mist_cloudy,2,4,0.8660254037844387,-0.49999999999999983
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,11.3875,11.540678,81.91669999999999,60.44882039999999,spring,mist_cloudy,3,4,0.8660254037844387,-0.49999999999999983
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,13.9725,14.540972,54.041700000000006,26.70084,spring,clear,4,4,0.8660254037844387,-0.49999999999999983
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,12.993348999999998,13.166258,67.125,54.60165,spring,clear,5,4,0.8660254037844387,-0.49999999999999983
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,12.249151000000001,12.082472,88.83330000000001,82.2028896,spring,light_snow_rain,6,4,0.8660254037844387,-0.49999999999999983
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,13.463349000000001,13.415935999999999,47.9583,73.20323520000001,spring,clear,0,4,0.8660254037844387,-0.49999999999999983
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,16.0875,17.207636,54.25,39.452360399999996,spring,clear,1,4,0.8660254037844387,-0.49999999999999983
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,15.774151,16.291028000000004,66.5833,38.1026052,spring,mist_cloudy,2,4,0.8660254037844387,-0.49999999999999983
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,19.965,21.249872000000003,61.4167,58.352309999999996,spring,clear,3,4,0.8660254037844387,-0.49999999999999983
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,13.580849,13.956872,40.708299999999994,78.45222960000001,spring,clear,4,4,0.8660254037844387,-0.49999999999999983
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,7.823349,5.248964000000001,72.9583,52.948465199999994,spring,mist_cloudy,5,4,0.8660254037844387,-0.49999999999999983
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,13.620000000000001,13.707985999999998,88.79169999999999,55.650870000000005,spring,mist_cloudy,6,4,0.8660254037844387,-0.49999999999999983
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,19.338349,20.416358000000002,81.08330000000001,46.352610000000006,spring,mist_cloudy,0,4,0.8660254037844387,-0.49999999999999983
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,20.513348999999998,21.917,77.6667,44.7023196,spring,clear,1,4,0.8660254037844387,-0.49999999999999983
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,21.688349,23.209478000000004,72.9167,78.75180000000002,spring,clear,2,4,0.8660254037844387,-0.49999999999999983
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,21.14,21.959372000000002,83.54169999999999,75.30264,spring,mist_cloudy,3,4,0.8660254037844387,-0.49999999999999983
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,21.0225,22.209314,70.08330000000001,77.40300960000002,spring,mist_cloudy,4,4,0.8660254037844387,-0.49999999999999983
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,15.969999999999999,16.832558,45.7083,57.9031956,spring,clear,5,4,0.8660254037844387,-0.49999999999999983
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,14.2075,14.625386000000002,50.3333,56.70009,spring,clear,6,4,0.8660254037844387,-0.49999999999999983
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,13.228348999999998,13.581464,76.2083,25.6525848,spring,mist_cloudy,0,5,0.49999999999999994,-0.8660254037844387
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,17.810848999999997,19.166978,73.0,44.249104800000005,spring,mist_cloudy,1,5,0.49999999999999994,-0.8660254037844387
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,20.983348999999997,22.417214,69.7083,82.6512804,spring,mist_cloudy,2,5,0.49999999999999994,-0.8660254037844387
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,11.465848999999999,10.706900000000001,73.70830000000001,79.3538352,spring,mist_cloudy,3,5,0.49999999999999994,-0.8660254037844387
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,13.580849,13.166522,44.4167,71.2485504,spring,clear,4,5,0.49999999999999994,-0.8660254037844387
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,14.520849000000002,15.291722,59.0,55.0529352,spring,clear,5,5,0.49999999999999994,-0.8660254037844387
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,16.44,17.832986,54.125,38.700540000000004,spring,clear,6,5,0.49999999999999994,-0.8660254037844387
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,16.831651,18.249578,63.1667,18.002565,spring,clear,0,5,0.49999999999999994,-0.8660254037844387
