Attrition,.pred_Yes,.pred_No,.pred_class,model
Yes,0.34355126867554076,0.6564487313244592,Yes,Lasso
No,0.10014160609222711,0.8998583939077729,No,Lasso
No,0.15542461134761776,0.8445753886523822,No,Lasso
No,0.01094039350518261,0.9890596064948174,No,Lasso
No,0.003970085460464068,0.9960299145395359,No,Lasso
No,0.5228767491042544,0.4771232508957456,Yes,Lasso
Yes,0.5609090893180932,0.4390909106819068,Yes,Lasso
No,0.18336107044374383,0.8166389295562562,No,Lasso
No,0.06497402533094332,0.9350259746690567,No,Lasso
Yes,0.3854544543557298,0.6145455456442702,Yes,Lasso
No,0.045074557215133426,0.9549254427848666,No,Lasso
No,8.037343473565883e-4,0.9991962656526434,No,Lasso
No,0.007360790885208135,0.9926392091147919,No,Lasso
Yes,0.04841811153842279,0.9515818884615772,No,Lasso
No,0.039638559793031325,0.9603614402069687,No,Lasso
No,0.20764818230405424,0.7923518176959458,No,Lasso
No,0.28560873774121665,0.7143912622587834,Yes,Lasso
No,0.07788296376685,0.92211703623315,No,Lasso
No,0.12441791496495613,0.8755820850350439,No,Lasso
No,0.5992384091982761,0.40076159080172385,Yes,Lasso
No,0.00877381603930516,0.9912261839606948,No,Lasso
No,0.08338630826680193,0.9166136917331981,No,Lasso
No,0.20529859337608825,0.7947014066239118,No,Lasso
No,0.17108673540267105,0.828913264597329,No,Lasso
No,0.12448877174540662,0.8755112282545934,No,Lasso
No,0.014525265411461485,0.9854747345885385,No,Lasso
No,0.5346113715328054,0.46538862846719464,Yes,Lasso
Yes,0.22676623797864437,0.7732337620213556,No,Lasso
Yes,0.07131495690132583,0.9286850430986742,No,Lasso
Yes,0.08380802171969948,0.9161919782803005,No,Lasso
No,0.6198238714431894,0.3801761285568106,Yes,Lasso
No,0.05931557087242101,0.940684429127579,No,Lasso
No,0.00476816828679727,0.9952318317132027,No,Lasso
No,0.004500757958398327,0.9954992420416017,No,Lasso
No,0.0043902654607193,0.9956097345392807,No,Lasso
No,6.652124954665828e-4,0.9993347875045334,No,Lasso
No,0.02603989032520526,0.9739601096747947,No,Lasso
No,0.007298680732541141,0.9927013192674589,No,Lasso
No,0.5769327763169227,0.4230672236830773,Yes,Lasso
Yes,0.4356362396774036,0.5643637603225964,Yes,Lasso
No,0.07108368956741629,0.9289163104325837,No,Lasso
No,0.125973790328756,0.874026209671244,No,Lasso
No,0.044195433649402927,0.9558045663505971,No,Lasso
No,0.016898996112206355,0.9831010038877936,No,Lasso
No,0.007590503868626253,0.9924094961313737,No,Lasso
Yes,0.1875503781353941,0.8124496218646059,No,Lasso
No,0.010715543894770141,0.9892844561052299,No,Lasso
No,0.10281257560497259,0.8971874243950274,No,Lasso
Yes,0.1529636789829869,0.8470363210170131,No,Lasso
No,0.10376772624550057,0.8962322737544994,No,Lasso
No,0.03239635510276484,0.9676036448972352,No,Lasso
No,0.0011220036219548035,0.9988779963780452,No,Lasso
No,0.02409442672304518,0.9759055732769548,No,Lasso
No,0.05769600249975404,0.942303997500246,No,Lasso
No,0.11636399868263814,0.8836360013173619,No,Lasso
Yes,0.8032672139475552,0.19673278605244485,Yes,Lasso
No,0.031213164756053513,0.9687868352439465,No,Lasso
Yes,0.06971786308974592,0.9302821369102541,No,Lasso
No,0.20308409378065806,0.7969159062193419,No,Lasso
No,0.08647348637691887,0.9135265136230811,No,Lasso
No,0.07457812637907546,0.9254218736209245,No,Lasso
No,0.08286298893555255,0.9171370110644474,No,Lasso
No,0.05455160747769228,0.9454483925223077,No,Lasso
Yes,0.19421192634297246,0.8057880736570275,No,Lasso
No,0.10926642719585178,0.8907335728041482,No,Lasso
No,0.06323416833761186,0.9367658316623881,No,Lasso
No,0.16613797063800173,0.8338620293619983,No,Lasso
No,0.32458999586747095,0.675410004132529,Yes,Lasso
No,0.012094945319441108,0.9879050546805589,No,Lasso
No,0.059425830821473236,0.9405741691785268,No,Lasso
No,5.621660410893847e-4,0.9994378339589106,No,Lasso
No,0.6157471741068072,0.3842528258931928,Yes,Lasso
No,0.5238658169776,0.4761341830223999,Yes,Lasso
No,0.3209675877931676,0.6790324122068324,Yes,Lasso
Yes,0.5227289598304836,0.4772710401695164,Yes,Lasso
No,0.056463205419220897,0.9435367945807791,No,Lasso
Yes,0.665476179649467,0.3345238203505329,Yes,Lasso
No,0.06320454089375116,0.9367954591062488,No,Lasso
No,0.02384910242304572,0.9761508975769543,No,Lasso
No,0.3295667691671973,0.6704332308328027,Yes,Lasso
No,0.0058888100096223805,0.9941111899903776,No,Lasso
No,0.005811927771469105,0.9941880722285309,No,Lasso
No,0.004875836185909144,0.9951241638140909,No,Lasso
Yes,0.07749681555173871,0.9225031844482613,No,Lasso
No,0.19854875490327384,0.8014512450967262,No,Lasso
No,0.17977264442610785,0.8202273555738921,No,Lasso
No,0.1560324278467653,0.8439675721532347,No,Lasso
No,0.11848361428282916,0.8815163857171708,No,Lasso
No,0.3099450786178417,0.6900549213821583,Yes,Lasso
No,0.24241570910945287,0.7575842908905471,No,Lasso
Yes,0.28329607194757334,0.7167039280524267,Yes,Lasso
No,5.486444774749355e-5,0.9999451355522525,No,Lasso
No,5.946067585017589e-4,0.9994053932414982,No,Lasso
No,0.1335723569283197,0.8664276430716803,No,Lasso
No,0.06769569897921757,0.9323043010207824,No,Lasso
No,0.09364733253894686,0.9063526674610531,No,Lasso
No,0.07323119458424132,0.9267688054157587,No,Lasso
No,0.01677236486719058,0.9832276351328094,No,Lasso
Yes,0.3061862537847665,0.6938137462152335,Yes,Lasso
No,0.0955235219102688,0.9044764780897312,No,Lasso
No,0.04287384646487202,0.957126153535128,No,Lasso
Yes,0.6046000013702078,0.3953999986297923,Yes,Lasso
No,0.007501288270621798,0.9924987117293782,No,Lasso
No,0.05019071624922089,0.9498092837507791,No,Lasso
Yes,0.2978821457601858,0.7021178542398142,Yes,Lasso
No,0.07559806069401076,0.9244019393059892,No,Lasso
No,0.1038308641508614,0.8961691358491386,No,Lasso
Yes,0.047749456361773523,0.9522505436382265,No,Lasso
Yes,0.5741879522991428,0.42581204770085723,Yes,Lasso
Yes,0.01953391151972883,0.9804660884802712,No,Lasso
No,0.031608204875173795,0.9683917951248262,No,Lasso
No,0.21431259506810318,0.7856874049318968,No,Lasso
No,0.083545037844304,0.916454962155696,No,Lasso
No,0.13850630366107686,0.8614936963389231,No,Lasso
No,0.01107191893559989,0.9889280810644001,No,Lasso
No,0.028687796099428065,0.9713122039005719,No,Lasso
No,0.012280687504551135,0.9877193124954489,No,Lasso
No,0.033064065887244976,0.966935934112755,No,Lasso
No,0.23415291533505234,0.7658470846649477,No,Lasso
Yes,0.8034149090010425,0.19658509099895755,Yes,Lasso
No,0.009777625058035144,0.9902223749419649,No,Lasso
No,4.374231989715538e-4,0.9995625768010284,No,Lasso
No,0.18713612087056042,0.8128638791294396,No,Lasso
No,0.6673987080768738,0.33260129192312615,Yes,Lasso
No,0.13974998065068667,0.8602500193493133,No,Lasso
No,4.0297158495727903e-4,0.9995970284150427,No,Lasso
No,0.24407640576753542,0.7559235942324646,No,Lasso
No,0.0019455383971693774,0.9980544616028306,No,Lasso
Yes,0.3526252333539178,0.6473747666460822,Yes,Lasso
No,0.4621484319262189,0.5378515680737811,Yes,Lasso
No,0.0023976491312129866,0.997602350868787,No,Lasso
No,0.010423792445662827,0.9895762075543372,No,Lasso
No,0.24534546063238394,0.7546545393676161,No,Lasso
No,0.00787327793840964,0.9921267220615904,No,Lasso
No,0.06271380096527202,0.937286199034728,No,Lasso
No,0.5149730687862609,0.4850269312137391,Yes,Lasso
No,0.08619970150527645,0.9138002984947236,No,Lasso
Yes,0.6253741789041283,0.3746258210958718,Yes,Lasso
No,0.39557201839570033,0.6044279816042997,Yes,Lasso
No,0.19374479456420124,0.8062552054357988,No,Lasso
No,0.003410099181933024,0.996589900818067,No,Lasso
Yes,0.506329012090615,0.49367098790938496,Yes,Lasso
No,0.08217627952578921,0.9178237204742108,No,Lasso
No,0.07342424229066313,0.9265757577093369,No,Lasso
No,0.02747109531995673,0.9725289046800433,No,Lasso
No,0.012079429020614985,0.987920570979385,No,Lasso
No,0.061593657850824934,0.9384063421491751,No,Lasso
Yes,0.14001230734680936,0.8599876926531906,No,Lasso
Yes,0.32870423925882286,0.6712957607411771,Yes,Lasso
No,3.101524603288386e-4,0.9996898475396712,No,Lasso
Yes,0.14205420197086915,0.8579457980291308,No,Lasso
No,0.002036816344576753,0.9979631836554232,No,Lasso
No,0.031184761506199532,0.9688152384938005,No,Lasso
Yes,0.8582617907515275,0.14173820924847252,Yes,Lasso
No,0.0029639509484192805,0.9970360490515807,No,Lasso
No,0.019637728888150963,0.980362271111849,No,Lasso
No,0.14543632228952008,0.8545636777104799,No,Lasso
No,0.004324124362216075,0.9956758756377839,No,Lasso
No,0.057626984414353766,0.9423730155856462,No,Lasso
No,0.1592648308869966,0.8407351691130034,No,Lasso
No,0.11851433584165738,0.8814856641583426,No,Lasso
No,0.1958100690022756,0.8041899309977244,No,Lasso
Yes,0.4873144046334035,0.5126855953665965,Yes,Lasso
No,0.05545158799419492,0.9445484120058051,No,Lasso
No,0.0015507324302136416,0.9984492675697864,No,Lasso
No,0.022247104754299807,0.9777528952457002,No,Lasso
No,0.12045557141559593,0.8795444285844041,No,Lasso
Yes,0.4366997388982966,0.5633002611017034,Yes,Lasso
No,0.008320398960091735,0.9916796010399083,No,Lasso
No,0.08151505194650321,0.9184849480534968,No,Lasso
No,0.016900464584613584,0.9830995354153864,No,Lasso
No,0.16730594091794992,0.8326940590820501,No,Lasso
No,0.04588794163017362,0.9541120583698264,No,Lasso
No,0.11605507690496841,0.8839449230950316,No,Lasso
No,0.1726173653721884,0.8273826346278116,No,Lasso
No,0.6479317819435118,0.3520682180564883,Yes,Lasso
No,0.012035002829184238,0.9879649971708158,No,Lasso
No,0.10319867082226197,0.896801329177738,No,Lasso
No,0.41072958218862243,0.5892704178113776,Yes,Lasso
No,0.05791664590104484,0.9420833540989552,No,Lasso
No,0.44037231988338743,0.5596276801166126,Yes,Lasso
No,0.2658908619244982,0.7341091380755018,Yes,Lasso
No,0.010742954731754017,0.989257045268246,No,Lasso
No,0.21833386678851296,0.781666133211487,No,Lasso
No,0.07554540481208838,0.9244545951879116,No,Lasso
