month,hour,count
2009-08-01,16,2
2009-08-01,17,2
2009-08-01,18,2
2009-08-01,19,4
2009-08-01,20,3
2009-08-01,22,1
2009-09-01,1,1
2009-09-01,4,1
2009-09-01,5,1
2009-09-01,6,2
2009-09-01,7,2
2009-09-01,8,3
2009-09-01,10,1
2009-09-01,11,1
2009-09-01,12,3
2009-09-01,13,1
2009-09-01,14,3
2009-09-01,15,1
2009-09-01,16,2
2009-09-01,17,3
2009-09-01,18,2
2009-09-01,19,1
2009-09-01,20,1
2009-09-01,23,2
2009-10-01,0,1
2009-10-01,5,1
2009-10-01,6,3
2009-10-01,7,1
2009-10-01,8,1
2009-10-01,9,1
2009-10-01,10,4
2009-10-01,11,1
2009-10-01,12,2
2009-10-01,13,2
2009-10-01,14,1
2009-10-01,16,1
2009-10-01,18,1
2009-10-01,19,1
2009-10-01,20,1
2009-10-01,22,2
2009-10-01,23,1
2009-11-01,3,1
2009-11-01,4,1
2009-11-01,6,2
2009-11-01,7,4
2009-11-01,8,4
2009-11-01,9,2
2009-11-01,11,1
2009-11-01,12,3
2009-11-01,15,5
2009-11-01,16,1
2009-11-01,19,1
2009-11-01,20,1
2009-11-01,21,1
2009-11-01,22,1
2009-12-01,0,1
2009-12-01,3,1
2009-12-01,4,1
2009-12-01,6,3
2009-12-01,7,2
2009-12-01,11,2
2009-12-01,12,1
2009-12-01,13,3
2009-12-01,14,2
2009-12-01,15,2
2009-12-01,16,2
2009-12-01,17,5
2009-12-01,18,4
2009-12-01,19,2
2009-12-01,20,3
2010-01-01,1,1
2010-01-01,4,1
2010-01-01,5,2
2010-01-01,6,4
2010-01-01,7,1
2010-01-01,8,3
2010-01-01,10,3
2010-01-01,13,2
2010-01-01,15,2
2010-01-01,16,2
2010-01-01,17,4
2010-01-01,18,3
2010-01-01,19,2
2010-01-01,20,2
2010-01-01,22,1
2010-01-01,23,1
2010-02-01,1,2
2010-02-01,4,1
2010-02-01,5,2
2010-02-01,6,3
2010-02-01,7,1
2010-02-01,8,2
2010-02-01,9,1
2010-02-01,10,2
2010-02-01,11,1
2010-02-01,12,3
2010-02-01,13,2
2010-02-01,14,1
2010-02-01,15,1
2010-02-01,17,3
2010-02-01,18,3
2010-02-01,20,2
2010-02-01,21,1
2010-03-01,2,1
2010-03-01,3,1
2010-03-01,4,2
2010-03-01,5,1
2010-03-01,7,1
2010-03-01,8,2
2010-03-01,9,1
2010-03-01,10,2
2010-03-01,13,1
2010-03-01,14,1
2010-03-01,16,1
2010-03-01,19,1
2010-03-01,20,1
2010-03-01,21,1
2010-03-01,22,2
2010-04-01,1,1
2010-04-01,2,1
2010-04-01,4,1
2010-04-01,5,3
2010-04-01,6,3
2010-04-01,7,2
2010-04-01,8,1
2010-04-01,9,1
2010-04-01,12,1
2010-04-01,13,2
2010-04-01,14,1
2010-04-01,15,1
2010-04-01,16,1
2010-04-01,17,1
2010-04-01,18,1
2010-04-01,19,2
2010-04-01,20,3
2010-04-01,21,1
2010-04-01,22,1
2010-05-01,0,1
2010-05-01,1,1
2010-05-01,2,1
2010-05-01,4,1
2010-05-01,6,2
2010-05-01,7,2
2010-05-01,8,2
2010-05-01,9,1
2010-05-01,10,2
2010-05-01,12,2
2010-05-01,13,2
2010-05-01,14,1
2010-05-01,15,2
2010-05-01,16,1
2010-05-01,17,2
2010-05-01,18,1
2010-05-01,19,1
2010-05-01,23,1
2010-06-01,4,3
2010-06-01,5,3
2010-06-01,6,1
2010-06-01,7,1
2010-06-01,9,2
2010-06-01,10,4
2010-06-01,11,1
2010-06-01,12,2
2010-06-01,13,3
2010-06-01,14,1
2010-06-01,16,1
2010-06-01,18,2
2010-06-01,19,3
2010-06-01,20,2
2010-06-01,21,2
2010-06-01,22,1
2010-06-01,23,1
2010-07-01,3,2
2010-07-01,4,2
2010-07-01,6,2
2010-07-01,8,2
2010-07-01,9,1
2010-07-01,10,3
2010-07-01,11,1
2010-07-01,12,1
2010-07-01,13,1
2010-07-01,14,1
2010-07-01,15,1
2010-07-01,18,2
2010-07-01,19,1
2010-07-01,21,1
2010-07-01,22,1
2010-08-01,2,1
2010-08-01,4,1
2010-08-01,5,2
2010-08-01,6,2
2010-08-01,7,1
2010-08-01,8,1
2010-08-01,13,2
2010-08-01,16,1
2010-08-01,17,4
2010-08-01,18,1
2010-08-01,22,1
2010-09-01,2,2
2010-09-01,4,2
2010-09-01,5,2
2010-09-01,6,1
2010-09-01,7,2
2010-09-01,8,1
2010-09-01,10,1
2010-09-01,11,2
2010-09-01,12,3
2010-09-01,13,1
2010-09-01,14,1
2010-09-01,15,1
2010-09-01,16,2
2010-09-01,17,3
2010-09-01,18,1
2010-09-01,19,1
2010-09-01,20,2
2010-09-01,22,2
2010-09-01,23,1
2010-10-01,2,1
2010-10-01,4,2
2010-10-01,5,3
2010-10-01,6,1
2010-10-01,7,2
2010-10-01,8,3
2010-10-01,9,2
2010-10-01,10,2
2010-10-01,11,1
2010-10-01,12,2
2010-10-01,13,4
2010-10-01,16,2
2010-10-01,17,1
2010-10-01,19,2
2010-10-01,20,2
2010-10-01,23,1
2010-11-01,1,1
2010-11-01,3,1
2010-11-01,4,1
2010-11-01,6,2
2010-11-01,7,1
2010-11-01,8,4
2010-11-01,9,1
2010-11-01,10,1
2010-11-01,11,4
2010-11-01,12,1
2010-11-01,13,4
2010-11-01,16,3
2010-11-01,17,4
2010-11-01,19,1
2010-11-01,20,1
2010-11-01,21,1
2010-11-01,23,1
2010-12-01,2,1
2010-12-01,3,1
2010-12-01,6,6
2010-12-01,9,1
2010-12-01,10,4
2010-12-01,11,1
2010-12-01,12,1
2010-12-01,14,2
2010-12-01,16,2
2010-12-01,17,3
2010-12-01,18,3
2010-12-01,20,1
2010-12-01,22,1
2010-12-01,23,1
2011-01-01,1,1
2011-01-01,4,1
2011-01-01,5,1
2011-01-01,6,1
2011-01-01,7,1
2011-01-01,10,4
2011-01-01,11,2
2011-01-01,13,2
2011-01-01,15,1
2011-01-01,16,3
2011-01-01,17,3
2011-01-01,18,1
2011-01-01,19,1
2011-01-01,20,1
2011-01-01,21,1
2011-02-01,4,1
2011-02-01,5,2
2011-02-01,6,1
2011-02-01,7,1
2011-02-01,8,2
2011-02-01,9,2
2011-02-01,11,1
2011-02-01,12,3
2011-02-01,13,2
2011-02-01,15,6
2011-02-01,16,2
2011-02-01,17,1
2011-02-01,18,1
2011-02-01,20,2
2011-03-01,1,3
2011-03-01,4,1
2011-03-01,5,2
2011-03-01,6,2
2011-03-01,8,3
2011-03-01,9,1
2011-03-01,10,1
2011-03-01,11,6
2011-03-01,12,3
2011-03-01,13,1
2011-03-01,14,4
2011-03-01,15,1
2011-03-01,16,1
2011-03-01,17,3
2011-03-01,18,3
2011-03-01,19,4
2011-03-01,23,1
2011-04-01,3,1
2011-04-01,5,2
2011-04-01,6,4
2011-04-01,7,3
2011-04-01,8,4
2011-04-01,9,1
2011-04-01,10,2
2011-04-01,13,2
2011-04-01,14,1
2011-04-01,15,1
2011-04-01,16,1
2011-04-01,17,2
2011-04-01,18,4
2011-04-01,19,3
2011-04-01,20,3
2011-04-01,21,2
2011-04-01,22,1
2011-05-01,4,2
2011-05-01,8,2
2011-05-01,9,2
2011-05-01,10,3
2011-05-01,11,3
2011-05-01,13,1
2011-05-01,14,3
2011-05-01,15,2
2011-05-01,16,2
2011-05-01,17,3
2011-05-01,19,2
2011-05-01,20,1
2011-05-01,21,1
2011-05-01,22,2
2011-05-01,23,1
2011-06-01,0,1
2011-06-01,1,1
2011-06-01,4,3
2011-06-01,5,1
2011-06-01,6,4
2011-06-01,7,2
2011-06-01,9,1
2011-06-01,10,3
2011-06-01,12,1
2011-06-01,13,2
2011-06-01,14,3
2011-06-01,15,1
2011-06-01,16,3
2011-06-01,17,3
2011-06-01,18,2
2011-06-01,19,1
2011-06-01,20,2
2011-06-01,21,3
2011-06-01,22,2
2011-06-01,23,3
2011-07-01,2,1
2011-07-01,3,1
2011-07-01,5,4
2011-07-01,6,3
2011-07-01,7,3
2011-07-01,9,5
2011-07-01,10,3
2011-07-01,11,3
2011-07-01,12,1
2011-07-01,13,1
2011-07-01,14,4
2011-07-01,15,4
2011-07-01,17,2
2011-07-01,18,1
2011-07-01,19,3
2011-07-01,20,5
2011-07-01,21,4
2011-07-01,22,2
2011-08-01,0,2
2011-08-01,4,3
2011-08-01,5,3
2011-08-01,6,1
2011-08-01,7,1
2011-08-01,8,3
2011-08-01,9,1
2011-08-01,10,2
2011-08-01,11,1
2011-08-01,12,2
2011-08-01,13,1
2011-08-01,14,1
2011-08-01,15,1
2011-08-01,16,5
2011-08-01,17,5
2011-08-01,18,1
2011-08-01,19,3
2011-08-01,20,3
2011-08-01,21,3
2011-08-01,22,1
2011-08-01,23,1
2011-09-01,1,1
2011-09-01,2,1
2011-09-01,3,3
2011-09-01,4,4
2011-09-01,5,4
2011-09-01,6,7
2011-09-01,7,5
2011-09-01,8,5
2011-09-01,9,2
2011-09-01,10,4
2011-09-01,11,5
2011-09-01,12,5
2011-09-01,13,4
2011-09-01,14,3
2011-09-01,15,4
2011-09-01,16,7
2011-09-01,17,5
2011-09-01,18,4
2011-09-01,19,5
2011-09-01,20,6
2011-09-01,21,3
2011-09-01,22,3
2011-09-01,23,5
2011-10-01,0,2
2011-10-01,1,2
2011-10-01,2,1
2011-10-01,3,1
2011-10-01,4,4
2011-10-01,5,4
2011-10-01,6,6
2011-10-01,7,4
2011-10-01,8,2
2011-10-01,9,7
2011-10-01,10,4
2011-10-01,11,5
2011-10-01,12,7
2011-10-01,13,6
2011-10-01,14,3
2011-10-01,15,3
2011-10-01,16,12
2011-10-01,17,7
2011-10-01,18,7
2011-10-01,19,6
2011-10-01,20,4
2011-10-01,21,4
2011-10-01,22,2
2011-10-01,23,1
2011-11-01,2,1
2011-11-01,3,5
2011-11-01,4,1
2011-11-01,5,3
2011-11-01,6,4
2011-11-01,7,7
2011-11-01,8,5
2011-11-01,9,9
2011-11-01,10,6
2011-11-01,11,10
2011-11-01,12,6
2011-11-01,13,2
2011-11-01,14,6
2011-11-01,15,7
2011-11-01,16,5
2011-11-01,17,7
2011-11-01,18,11
2011-11-01,19,6
2011-11-01,20,7
2011-11-01,21,7
2011-11-01,22,5
2011-11-01,23,5
2011-12-01,0,3
2011-12-01,1,1
2011-12-01,2,2
2011-12-01,3,2
2011-12-01,4,3
2011-12-01,5,3
2011-12-01,6,3
2011-12-01,7,8
2011-12-01,8,6
2011-12-01,9,6
2011-12-01,10,8
2011-12-01,11,4
2011-12-01,12,10
2011-12-01,13,10
2011-12-01,14,5
2011-12-01,15,8
2011-12-01,16,11
2011-12-01,17,6
2011-12-01,18,7
2011-12-01,19,5
2011-12-01,20,10
2011-12-01,21,8
2011-12-01,22,9
2011-12-01,23,4
2012-01-01,0,2
2012-01-01,1,1
2012-01-01,2,2
2012-01-01,3,1
2012-01-01,4,2
2012-01-01,5,2
2012-01-01,6,5
2012-01-01,7,8
2012-01-01,8,3
2012-01-01,9,6
2012-01-01,10,6
2012-01-01,11,5
2012-01-01,12,8
2012-01-01,13,12
2012-01-01,14,9
2012-01-01,15,1
2012-01-01,16,3
2012-01-01,17,13
2012-01-01,18,7
2012-01-01,19,10
2012-01-01,20,8
2012-01-01,21,6
2012-01-01,22,13
2012-01-01,23,2
2012-02-01,0,6
2012-02-01,1,2
2012-02-01,3,1
2012-02-01,4,7
2012-02-01,5,5
2012-02-01,6,10
2012-02-01,7,14
2012-02-01,8,10
2012-02-01,9,8
2012-02-01,10,9
2012-02-01,11,9
2012-02-01,12,13
2012-02-01,13,11
2012-02-01,14,8
2012-02-01,15,10
2012-02-01,16,14
2012-02-01,17,11
2012-02-01,18,15
2012-02-01,19,10
2012-02-01,20,12
2012-02-01,21,14
2012-02-01,22,5
2012-02-01,23,4
2012-03-01,0,4
2012-03-01,1,3
2012-03-01,2,2
2012-03-01,3,1
2012-03-01,4,11
2012-03-01,5,9
2012-03-01,6,8
2012-03-01,7,7
2012-03-01,8,7
2012-03-01,9,11
2012-03-01,10,6
2012-03-01,11,13
2012-03-01,12,10
2012-03-01,13,11
2012-03-01,14,10
2012-03-01,15,13
2012-03-01,16,11
2012-03-01,17,12
2012-03-01,18,17
2012-03-01,19,7
2012-03-01,20,7
2012-03-01,21,7
2012-03-01,22,6
2012-03-01,23,8
2012-04-01,0,1
2012-04-01,1,2
2012-04-01,2,3
2012-04-01,3,2
2012-04-01,4,6
2012-04-01,5,9
2012-04-01,6,6
2012-04-01,7,8
2012-04-01,8,9
2012-04-01,9,10
2012-04-01,10,9
2012-04-01,11,10
2012-04-01,12,9
2012-04-01,13,6
2012-04-01,14,17
2012-04-01,15,10
2012-04-01,16,15
2012-04-01,17,12
2012-04-01,18,4
2012-04-01,19,10
2012-04-01,20,4
2012-04-01,21,9
2012-04-01,22,3
2012-04-01,23,3
2012-05-01,0,2
2012-05-01,1,4
2012-05-01,2,3
2012-05-01,3,2
2012-05-01,4,8
2012-05-01,5,9
2012-05-01,6,13
2012-05-01,7,9
2012-05-01,8,9
2012-05-01,9,12
2012-05-01,10,10
2012-05-01,11,16
2012-05-01,12,6
2012-05-01,13,9
2012-05-01,14,15
2012-05-01,15,18
2012-05-01,16,11
2012-05-01,17,13
2012-05-01,18,12
2012-05-01,19,10
2012-05-01,20,8
2012-05-01,21,11
2012-05-01,22,3
2012-05-01,23,7
2012-06-01,0,1
2012-06-01,1,3
2012-06-01,2,3
2012-06-01,3,6
2012-06-01,4,11
2012-06-01,5,11
2012-06-01,6,4
2012-06-01,7,11
2012-06-01,8,14
2012-06-01,9,10
2012-06-01,10,12
2012-06-01,11,12
2012-06-01,12,13
2012-06-01,13,6
2012-06-01,14,7
2012-06-01,15,10
2012-06-01,16,12
2012-06-01,17,9
2012-06-01,18,8
2012-06-01,19,9
2012-06-01,20,9
2012-06-01,21,8
2012-06-01,22,4
2012-06-01,23,1
2012-07-01,0,2
2012-07-01,1,1
2012-07-01,3,3
2012-07-01,4,17
2012-07-01,5,6
2012-07-01,6,9
2012-07-01,7,6
2012-07-01,8,13
2012-07-01,9,8
2012-07-01,10,10
2012-07-01,11,9
2012-07-01,12,11
2012-07-01,13,5
2012-07-01,14,15
2012-07-01,15,10
2012-07-01,16,7
2012-07-01,17,9
2012-07-01,18,15
2012-07-01,19,14
2012-07-01,20,7
2012-07-01,21,6
2012-07-01,22,6
2012-07-01,23,5
2012-08-01,0,4
2012-08-01,1,2
2012-08-01,2,3
2012-08-01,3,3
2012-08-01,4,9
2012-08-01,5,10
2012-08-01,6,9
2012-08-01,7,6
2012-08-01,8,10
2012-08-01,9,11
2012-08-01,10,7
2012-08-01,11,12
2012-08-01,12,8
2012-08-01,13,7
2012-08-01,14,8
2012-08-01,15,10
2012-08-01,16,13
2012-08-01,17,18
2012-08-01,18,12
2012-08-01,19,9
2012-08-01,20,12
2012-08-01,21,8
2012-08-01,22,5
2012-08-01,23,4
2012-09-01,0,4
2012-09-01,1,3
2012-09-01,2,1
2012-09-01,3,6
2012-09-01,4,6
2012-09-01,5,9
2012-09-01,6,14
2012-09-01,7,10
2012-09-01,8,13
2012-09-01,9,13
2012-09-01,10,11
2012-09-01,11,15
2012-09-01,12,6
2012-09-01,13,7
2012-09-01,14,9
2012-09-01,15,10
2012-09-01,16,11
2012-09-01,17,14
2012-09-01,18,15
2012-09-01,19,17
2012-09-01,20,7
2012-09-01,21,7
2012-09-01,22,2
2012-09-01,23,5
2012-10-01,0,2
2012-10-01,1,3
2012-10-01,2,2
2012-10-01,3,5
2012-10-01,4,10
2012-10-01,5,13
2012-10-01,6,14
2012-10-01,7,12
2012-10-01,8,10
2012-10-01,9,9
2012-10-01,10,14
2012-10-01,11,9
2012-10-01,12,9
2012-10-01,13,7
2012-10-01,14,9
2012-10-01,15,7
2012-10-01,16,21
2012-10-01,17,11
2012-10-01,18,5
2012-10-01,19,10
2012-10-01,20,12
2012-10-01,21,5
2012-10-01,22,9
2012-10-01,23,3
2012-11-01,0,2
2012-11-01,1,1
2012-11-01,2,4
2012-11-01,3,3
2012-11-01,4,4
2012-11-01,5,6
2012-11-01,6,12
2012-11-01,7,12
2012-11-01,8,16
2012-11-01,9,14
2012-11-01,10,9
2012-11-01,11,8
2012-11-01,12,13
2012-11-01,13,11
2012-11-01,14,11
2012-11-01,15,11
2012-11-01,16,9
2012-11-01,17,10
2012-11-01,18,7
2012-11-01,19,12
2012-11-01,20,15
2012-11-01,21,8
2012-11-01,22,6
2012-11-01,23,4
2012-12-01,0,9
2012-12-01,1,3
2012-12-01,2,3
2012-12-01,3,3
2012-12-01,4,4
2012-12-01,5,8
2012-12-01,6,8
2012-12-01,7,15
2012-12-01,8,12
2012-12-01,9,6
2012-12-01,10,17
2012-12-01,11,13
2012-12-01,12,16
2012-12-01,13,7
2012-12-01,14,9
2012-12-01,15,7
2012-12-01,16,11
2012-12-01,17,19
2012-12-01,18,12
2012-12-01,19,13
2012-12-01,20,8
2012-12-01,21,13
2012-12-01,22,7
2012-12-01,23,4
2013-01-01,0,5
2013-01-01,1,6
2013-01-01,2,1
2013-01-01,3,6
2013-01-01,4,8
2013-01-01,5,10
2013-01-01,6,10
2013-01-01,7,21
2013-01-01,8,12
2013-01-01,9,12
2013-01-01,10,16
2013-01-01,11,11
2013-01-01,12,14
2013-01-01,13,11
2013-01-01,14,11
2013-01-01,15,16
2013-01-01,16,22
2013-01-01,17,11
2013-01-01,18,10
2013-01-01,19,16
2013-01-01,20,15
2013-01-01,21,10
2013-01-01,22,11
2013-01-01,23,8
2013-02-01,0,4
2013-02-01,1,5
2013-02-01,2,2
2013-02-01,3,3
2013-02-01,4,4
2013-02-01,5,3
2013-02-01,6,13
2013-02-01,7,12
2013-02-01,8,12
2013-02-01,9,8
2013-02-01,10,22
2013-02-01,11,8
2013-02-01,12,10
2013-02-01,13,11
2013-02-01,14,10
2013-02-01,15,17
2013-02-01,16,20
2013-02-01,17,16
2013-02-01,18,15
2013-02-01,19,11
2013-02-01,20,11
2013-02-01,21,8
2013-02-01,22,6
2013-02-01,23,7
2013-03-01,0,6
2013-03-01,1,7
2013-03-01,2,4
2013-03-01,3,2
2013-03-01,4,11
2013-03-01,5,13
2013-03-01,6,13
2013-03-01,7,10
2013-03-01,8,13
2013-03-01,9,13
2013-03-01,10,12
2013-03-01,11,19
2013-03-01,12,18
2013-03-01,13,14
2013-03-01,14,14
2013-03-01,15,19
2013-03-01,16,14
2013-03-01,17,21
2013-03-01,18,18
2013-03-01,19,12
2013-03-01,20,13
2013-03-01,21,15
2013-03-01,22,14
2013-03-01,23,3
2013-04-01,0,6
2013-04-01,1,4
2013-04-01,2,2
2013-04-01,3,5
2013-04-01,4,14
2013-04-01,5,15
2013-04-01,6,25
2013-04-01,7,16
2013-04-01,8,19
2013-04-01,9,12
2013-04-01,10,11
2013-04-01,11,11
2013-04-01,12,16
2013-04-01,13,7
2013-04-01,14,14
2013-04-01,15,17
2013-04-01,16,22
2013-04-01,17,17
2013-04-01,18,10
2013-04-01,19,14
2013-04-01,20,15
2013-04-01,21,8
2013-04-01,22,9
2013-04-01,23,1
2013-05-01,0,6
2013-05-01,1,4
2013-05-01,2,3
2013-05-01,3,11
2013-05-01,4,11
2013-05-01,5,15
2013-05-01,6,21
2013-05-01,7,12
2013-05-01,8,17
2013-05-01,9,20
2013-05-01,10,22
2013-05-01,11,20
2013-05-01,12,17
2013-05-01,13,24
2013-05-01,14,10
2013-05-01,15,18
2013-05-01,16,14
2013-05-01,17,13
2013-05-01,18,15
2013-05-01,19,22
2013-05-01,20,17
2013-05-01,21,8
2013-05-01,22,14
2013-05-01,23,7
2013-06-01,0,5
2013-06-01,1,6
2013-06-01,2,3
2013-06-01,3,7
2013-06-01,4,11
2013-06-01,5,15
2013-06-01,6,13
2013-06-01,7,14
2013-06-01,8,17
2013-06-01,9,20
2013-06-01,10,14
2013-06-01,11,17
2013-06-01,12,14
2013-06-01,13,10
2013-06-01,14,11
2013-06-01,15,20
2013-06-01,16,17
2013-06-01,17,15
2013-06-01,18,12
2013-06-01,19,15
2013-06-01,20,9
2013-06-01,21,13
2013-06-01,22,11
2013-06-01,23,6
2013-07-01,0,2
2013-07-01,1,1
2013-07-01,2,5
2013-07-01,3,7
2013-07-01,4,12
2013-07-01,5,13
2013-07-01,6,14
2013-07-01,7,14
2013-07-01,8,14
2013-07-01,9,15
2013-07-01,10,9
2013-07-01,11,10
2013-07-01,12,15
2013-07-01,13,10
2013-07-01,14,11
2013-07-01,15,20
2013-07-01,16,25
2013-07-01,17,19
2013-07-01,18,12
2013-07-01,19,13
2013-07-01,20,16
2013-07-01,21,9
2013-07-01,22,3
2013-07-01,23,7
2013-08-01,0,5
2013-08-01,1,5
2013-08-01,2,1
2013-08-01,3,7
2013-08-01,4,9
2013-08-01,5,15
2013-08-01,6,11
2013-08-01,7,15
2013-08-01,8,5
2013-08-01,9,11
2013-08-01,10,7
2013-08-01,11,9
2013-08-01,12,9
2013-08-01,13,4
2013-08-01,14,6
2013-08-01,15,14
2013-08-01,16,13
2013-08-01,17,16
2013-08-01,18,13
2013-08-01,19,7
2013-08-01,20,12
2013-08-01,21,3
2013-08-01,22,9
2013-08-01,23,7
2013-09-01,0,1
2013-09-01,1,8
2013-09-01,2,4
2013-09-01,3,9
2013-09-01,4,12
2013-09-01,5,17
2013-09-01,6,7
2013-09-01,7,11
2013-09-01,8,14
2013-09-01,9,23
2013-09-01,10,10
2013-09-01,11,21
2013-09-01,12,19
2013-09-01,13,7
2013-09-01,14,15
2013-09-01,15,24
2013-09-01,16,17
2013-09-01,17,16
2013-09-01,18,12
2013-09-01,19,20
2013-09-01,20,14
2013-09-01,21,13
2013-09-01,22,8
2013-09-01,23,6
2013-10-01,0,7
2013-10-01,1,2
2013-10-01,2,3
2013-10-01,3,6
2013-10-01,4,9
2013-10-01,5,12
2013-10-01,6,13
2013-10-01,7,11
2013-10-01,8,17
2013-10-01,9,14
2013-10-01,10,14
2013-10-01,11,16
2013-10-01,12,16
2013-10-01,13,14
2013-10-01,14,9
2013-10-01,15,10
2013-10-01,16,19
2013-10-01,17,22
2013-10-01,18,18
2013-10-01,19,14
2013-10-01,20,16
2013-10-01,21,16
2013-10-01,22,10
2013-10-01,23,8
2013-11-01,0,4
2013-11-01,1,2
2013-11-01,2,2
2013-11-01,3,3
2013-11-01,4,7
2013-11-01,5,10
2013-11-01,6,12
2013-11-01,7,12
2013-11-01,8,13
2013-11-01,9,14
2013-11-01,10,12
2013-11-01,11,15
2013-11-01,12,16
2013-11-01,13,14
2013-11-01,14,13
2013-11-01,15,9
2013-11-01,16,17
2013-11-01,17,10
2013-11-01,18,16
2013-11-01,19,15
2013-11-01,20,12
2013-11-01,21,6
2013-11-01,22,11
2013-11-01,23,5
2013-12-01,0,7
2013-12-01,1,5
2013-12-01,2,4
2013-12-01,3,5
2013-12-01,4,3
2013-12-01,5,9
2013-12-01,6,11
2013-12-01,7,13
2013-12-01,8,14
2013-12-01,9,17
2013-12-01,10,15
2013-12-01,11,10
2013-12-01,12,15
2013-12-01,13,9
2013-12-01,14,11
2013-12-01,15,10
2013-12-01,16,13
2013-12-01,17,16
2013-12-01,18,17
2013-12-01,19,18
2013-12-01,20,17
2013-12-01,21,17
2013-12-01,22,13
2013-12-01,23,5
2014-01-01,0,10
2014-01-01,1,5
2014-01-01,2,3
2014-01-01,3,3
2014-01-01,4,10
2014-01-01,5,6
2014-01-01,6,13
2014-01-01,7,15
2014-01-01,8,7
2014-01-01,9,12
2014-01-01,10,11
2014-01-01,11,9
2014-01-01,12,10
2014-01-01,13,15
2014-01-01,14,14
2014-01-01,15,13
2014-01-01,16,19
2014-01-01,17,23
2014-01-01,18,9
2014-01-01,19,8
2014-01-01,20,13
2014-01-01,21,9
2014-01-01,22,2
2014-01-01,23,6
2014-02-01,0,7
2014-02-01,1,2
2014-02-01,2,2
2014-02-01,3,3
2014-02-01,4,12
2014-02-01,5,11
2014-02-01,6,12
2014-02-01,7,15
2014-02-01,8,18
2014-02-01,9,12
2014-02-01,10,19
2014-02-01,11,11
2014-02-01,12,12
2014-02-01,13,8
2014-02-01,14,8
2014-02-01,15,17
2014-02-01,16,17
2014-02-01,17,15
2014-02-01,18,9
2014-02-01,19,12
2014-02-01,20,8
2014-02-01,21,11
2014-02-01,22,12
2014-02-01,23,5
2014-03-01,0,8
2014-03-01,1,4
2014-03-01,2,2
2014-03-01,3,8
2014-03-01,4,13
2014-03-01,5,13
2014-03-01,6,14
2014-03-01,7,17
2014-03-01,8,14
2014-03-01,9,15
2014-03-01,10,13
2014-03-01,11,16
2014-03-01,12,11
2014-03-01,13,18
2014-03-01,14,14
2014-03-01,15,19
2014-03-01,16,15
2014-03-01,17,19
2014-03-01,18,18
2014-03-01,19,24
2014-03-01,20,13
2014-03-01,21,8
2014-03-01,22,8
2014-03-01,23,2
2014-04-01,0,2
2014-04-01,1,4
2014-04-01,2,3
2014-04-01,3,4
